placeholder,site,plant_code,species,block,plot,div,c_i,flood,canopy_openness,date,experiment_observation,notes,species2,plant_code2,experiment_final_intermediate,nlvs_per_ind,wilmer_code,wilmer_herb_total,wilmer_lep1_ID,wilmer_lep1_perc,wilmer_lep2_ID,wilmer_lep2_perc,wilmer_coleop1_ID,wilmer_coleop1_perc,wilmer_coleop2_ID,wilmer_coleop2_perc,wilmer_other1_ID,wilmer_other1_perc,wilmer_other2_ID,wilmer_other2_perc,wilmer_notes,wilmer_notes_perc_UNCLEAR,wilmer_spec_total_lf,wilmer_gen_total_lf,wilmer_spec_total_plant,wilmer_gen_total_plant,wilmer_rich_lf,wilmer_rich_plant,field_specialist,field_generalist,field_eois,field_num_other_leps,field_quadrus,
10838,zf2,t9,"negroense - round base, no hairs on margin",NA,zf4,NA,NA,NA,18.46,8.8.17,obs,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,NA,NA,NA,
10837,zf2,t9,gurupanum,NA,zf2,NA,NA,NA,11.44,6.8.18,obs,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.333333333,22.66666667,NA,NA,NA,
5926,ducke,t9,manausense,NA,22,NA,NA,NA,24.96,13.6.18,obs,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.86956522,0.52173913,NA,NA,NA,
5925,ducke,t9,mastersianum,NA,20,NA,NA,NA,12.48,11.6.18 and 12.6.18,obs,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.1,NA,NA,NA,
5924,ducke,t9,alface3,NA,14,NA,NA,NA,20.28,1.8.16,obs,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.75,NA,NA,NA,
5923,ducke,t9,manausense,NA,13,NA,NA,NA,21.58,31.7.16,obs,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,3,NA,NA,NA,
5922,ducke,t9,mastersianum,NA,12,NA,NA,NA,22.88,30.7.16,obs,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.07692308,1.923076923,3,NA,NA,
5921,ducke,t9,erectipillum,NA,10,NA,NA,NA,28.6,29.7.16,obs,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,
5920,ducke,t9,plurinervosum,NA,9,NA,NA,NA,19.76,26.7.16,obs,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,30,NA,NA,NA,
3598,mogi,t9,miquelianum,NA,7,NA,NA,NA,19.24,19.12.2016,obs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.25,NA,NA,NA,
5919,ducke,t9,plurinervosum,NA,7,NA,NA,NA,20.54,25.7.16,obs,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,0,NA,NA,NA,
5918,ducke,t9,manausense,NA,6,NA,NA,NA,20.8,24.7.16,obs,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,NA,NA,NA,
3597,mogi,t9,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,
3596,mogi,t9,miquelianum,NA,4,NA,NA,NA,22.88,18.12.16,obs,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,NA,NA,NA,
5917,ducke,t9,erectipillum,NA,2,NA,NA,NA,18.46,21.7.16,obs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA,
5916,ducke,t9,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,2.777777778,NA,NA,NA,
3595,mogi,t89,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.526315789,NA,NA,NA,
5915,ducke,t89,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,10,NA,NA,NA,
3594,mogi,t88,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,NA,NA,NA,
5914,ducke,t88,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,0,NA,NA,NA,
3593,mogi,t87,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,
5913,ducke,t87,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.333333333,0,NA,NA,NA,
3592,mogi,t86,malacophylum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,NA,NA,NA,
5912,ducke,t86,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,
3591,mogi,t85,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,16.66666667,NA,NA,NA,
5911,ducke,t85,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.571428571,0.5,NA,NA,NA,
3590,mogi,t84,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,2.083333333,NA,NA,NA,
5910,ducke,t84,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,2,NA,NA,NA,
3589,mogi,t83,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,NA,NA,NA,
5909,ducke,t83,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.909090909,5.681818182,NA,NA,NA,
3588,mogi,t82,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,
5908,ducke,t82,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.787878788,4.848484848,NA,NA,NA,
3587,mogi,t81,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.735294118,NA,NA,NA,
5907,ducke,t81,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,10,NA,NA,NA,
3586,mogi,t80,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,
5906,ducke,t80,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.153846154,3.076923077,NA,NA,NA,
10836,zf2,t8,"negroense - round base, no hairs on margin",NA,zf4,NA,NA,NA,18.46,8.8.17,obs,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.33333333,NA,NA,NA,
10835,zf2,t8,gurupanum,NA,zf2,NA,NA,NA,11.44,6.8.18,obs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16.66666667,NA,NA,NA,
5905,ducke,t8,manausense,NA,22,NA,NA,NA,24.96,13.6.18,obs,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.515151515,6.818181818,NA,NA,NA,
5904,ducke,t8,"unknown; rough hairs under surface, glabrous above, 6-7 veins all along main vein, ~4 cm wide, sand papery stem, slightly sheathing petiole",NA,20,NA,NA,NA,12.48,11.6.18 and 12.6.18,obs,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,7.5,NA,NA,NA,
5903,ducke,t8,alatabaccum,NA,18,NA,NA,NA,16.9,9.6.18,obs,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.158273381,4.565217391,0,0,0,
5902,ducke,t8,cf. cavalcantei,NA,16,NA,NA,NA,18.2,7.6.18,obs,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,0,0,0,
5901,ducke,t8,alface3,NA,14,NA,NA,NA,20.28,1.8.16,obs,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.63636364,4.545454545,2,NA,NA,
5900,ducke,t8,manausense,NA,13,NA,NA,NA,21.58,31.7.16,obs,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,2,NA,NA,NA,
5899,ducke,t8,mastersianum,NA,12,NA,NA,NA,22.88,30.7.16,obs,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33333333,3.333333333,NA,NA,NA,
5898,ducke,t8,erectipillum,NA,10,NA,NA,NA,28.6,29.7.16,obs,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,2.222222222,NA,NA,NA,
5897,ducke,t8,manausense,NA,9,NA,NA,NA,19.76,26.7.16,obs,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.14285714,9.285714286,NA,NA,NA,
3585,mogi,t8,miquelianum,NA,7,NA,NA,NA,19.24,19.12.2016,obs,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,
5896,ducke,t8,plurinervosum,NA,7,NA,NA,NA,20.54,25.7.16,obs,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.5,NA,NA,NA,
5895,ducke,t8,manausense,NA,6,NA,NA,NA,20.8,24.7.16,obs,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,62.5,NA,NA,NA,
3584,mogi,t8,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,
3583,mogi,t8,miquelianum,NA,4,NA,NA,NA,22.88,18.12.16,obs,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.923076923,0,NA,NA,NA,
5894,ducke,t8,erectipillum,NA,2,NA,NA,NA,18.46,21.7.16,obs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.333333333,NA,NA,NA,
5893,ducke,t8,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.125,6.25,NA,NA,NA,
3582,mogi,t79,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,
5892,ducke,t79,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.166666667,8.333333333,NA,NA,NA,
3581,mogi,t78,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,
5891,ducke,t78,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.529411765,1.470588235,NA,NA,NA,
3580,mogi,t77,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.25,NA,NA,NA,
5890,ducke,t77,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,
3579,mogi,t76,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,
5889,ducke,t76,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.571428571,12.5,NA,NA,NA,
3578,mogi,t75,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,
5888,ducke,t75,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.25,NA,NA,NA,
3577,mogi,t74,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,2.272727273,NA,NA,NA,
5887,ducke,t74,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,4.166666667,NA,NA,NA,
3576,mogi,t73,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.2,NA,NA,NA,
5886,ducke,t73,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,2.5,NA,NA,NA,
3575,mogi,t72,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,0,NA,NA,NA,
5885,ducke,t72,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,
3574,mogi,t71,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.615384615,0.769230769,NA,NA,NA,
5884,ducke,t71,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,NA,NA,NA,
5883,ducke,t70,manausense,NA,6,NA,NA,NA,20.8,24.7.16,obs,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,17.5,NA,NA,NA,
3573,mogi,t70,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,
5882,ducke,t70,manausense,NA,1,NA,NA,NA,25.22,20.7.16,obs,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.1,NA,NA,NA,
10834,zf2,t7,"negroense - round base, no hairs on margin",NA,zf4,NA,NA,NA,18.46,8.8.17,obs,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,
10833,zf2,t7,gurupanum,NA,zf2,NA,NA,NA,11.44,6.8.18,obs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,23.33333333,NA,NA,NA,
5881,ducke,t7,manausense,NA,22,NA,NA,NA,24.96,13.6.18,obs,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8.333333333,NA,NA,NA,
5880,ducke,t7,"unknown; rough hairs under surface, glabrous above, 6-7 veins all along main vein, ~4 cm wide, sand papery stem, slightly sheathing petiole",NA,20,NA,NA,NA,12.48,11.6.18 and 12.6.18,obs,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.727272727,10,NA,NA,NA,
5879,ducke,t7,alatabaccum,NA,18,NA,NA,NA,16.9,9.6.18,obs,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.625,25.9375,0,0,0,
5878,ducke,t7,cf. cavalcantei,NA,16,NA,NA,NA,18.2,7.6.18,obs,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.526315789,4.210526316,0,0,0,
5877,ducke,t7,alface3,NA,14,NA,NA,NA,20.28,1.8.16,obs,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33333333,2.307692308,NA,NA,NA,
5876,ducke,t7,amapensis,NA,13,NA,NA,NA,21.58,31.7.16,obs,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,1,NA,NA,NA,
